,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Hotel Name,Review,Review_Lemma,Keyword,Sentiment,User Contribution,Recency,joy,sadness,fear,disgust,anger,MHRs,Index,abs_Sentiment,new_MHR,Normalized_User_Contribution,Recency_new,Score,Bucket
0,286,70,80,Angsana Oasis Spa & Resort,"Overall, it was not an experience that one would like to remember - quite forgettable and definitely not worth the ridiculous amount they charge under the guise of a high end resort","overall , it be not an experience that one would like to remember - quite forgettable and definitely not worth the ridiculous amount they charge under the guise of a high end resort",guise of a high end resort,-0.9955510000000001,225,Jun-18,0.070867,0.380316,0.047975,0.19131900000000002,0.5513399999999999,0.10937882300000001,70,0.9955510000000001,0.10937882300000001,0.08426966300000001,410 days 00:00:00.000000000,3.391984056,ambience
1,287,68,77,Angsana Oasis Spa & Resort,Its close to all the important places and still far away from the noises and bustling speed of the city.,its close to all the important place and still far away from the noise and bustle speed of the city .,noise,-0.778669,1,Sep-18,0.026258999999999998,0.5636180000000001,0.42888100000000007,0.071297,0.170873,0.10737528199999999,68,0.778669,0.10737528199999999,0.00037453199999999996,318 days 00:00:00.000000000,2.987028122,ambience
2,288,71,81,Angsana Oasis Spa & Resort,Strictly average ambiance made worse by the aging infrastructure.,strictly average ambiance make bad by the age infrastructure .,average ambiance,-0.833051,11,Jan-17,0.022511,0.430752,0.38586,0.072335,0.138719,0.11691863300000001,71,0.833051,0.11691863300000001,0.00411985,926 days 00:00:00.000000000,2.436127967,ambience
3,289,63,71,Angsana Oasis Spa & Resort,"This is the typical resort that has long past the time of its grandeur, has been painfully underinvested in, and is slowly dying.","this be the typical resort that have long past the time of its grandeur , have be painfully underinvested in , and be slowly die .",typical resort,-0.9112520000000001,12,Jul-19,0.112817,0.64879,0.09640599999999999,0.19275699999999998,0.042187999999999996,0.10862827,63,0.9112520000000001,0.10862827,0.004494382,15 days 00:00:00.000000000,2.425475563,ambience
4,290,66,74,Angsana Oasis Spa & Resort,However the ambience has been completely spoilt over the years due to the corporate events which seem to be the main priority now.,however the ambience have be completely spoilt over the year due to the corporate event which seem to be the main priority now .,ambience,-0.6149180000000001,2,Dec-18,0.058113,0.692076,0.048804,0.087354,0.050347,0.11022255,66,0.6149180000000001,0.11022255,0.0007490639999999999,227 days 00:00:00.000000000,2.18042415,ambience
5,291,64,72,Angsana Oasis Spa & Resort,Off course - this resort exploits its proximity of location and the huge demand of IT / Industries in and around Bangalore for an outside location venue their meeting & training needs and couldnt care less to maintain as business comes automatically and most times overbooked.,off course - this resort exploit its proximity of location and the huge demand of IT / Industries in and around Bangalore for an outside location venue their meeting & training need and could nt care less to maintain as busines come automatically and most time overbooke .,proximity of location,-0.660547,15,Feb-19,0.079415,0.24883200000000003,0.020464,0.102112,0.28475100000000003,0.109063285,64,0.660547,0.109063285,0.005617978,165 days 00:00:00.000000000,1.9907943769999998,ambience
6,292,67,75,Angsana Oasis Spa & Resort,The noise emanating from these during the day and at night spoil the tranquillity of the place and at times intrude on the spa also.,the noise emanate from these during the day and at night spoil the tranquillity of the place and at time intrude on the spa also .,noise,-0.582426,2,Dec-18,0.44997200000000004,0.152684,0.338477,0.047879000000000005,0.108319,0.10785936900000001,67,0.582426,0.10785936900000001,0.0007490639999999999,227 days 00:00:00.000000000,1.7712257869999999,ambience
7,293,65,73,Angsana Oasis Spa & Resort,Our own experience indicated that they weren't fully booked.,our own experience indicate that they be n't fully book .,own experience,-0.379156,173,May-19,0.057221,0.131997,0.199167,0.026175,0.073377,0.117897363,65,0.379156,0.117897363,0.064794007,76 days 00:00:00.000000000,1.4837770540000002,ambience
8,294,69,79,Angsana Oasis Spa & Resort,"Sadly, it's no longer the best resort in Bangalore.","sadly , it ' no longer the good resort in Bangalore .",good resort,-0.9557530000000001,217,Aug-17,0.565703,0.229956,0.021483000000000002,0.051351999999999995,0.117618,0.112656425,69,0.9557530000000001,0.112656425,0.08127340799999999,714 days 00:00:00.000000000,1.3920840019999998,ambience
9,1204,310,337,Angsana Oasis Spa & Resort,"Everthing here is old, when not broken altogether (AC remote not working, wifi not working, room phone half broken...)","everthe here be old , when not break altogether ( AC remote not work , wifi not work , room phone half broken ... )",room phone,-0.944533,12,Jul-19,0.005478,0.40474699999999997,0.430195,0.17563499999999999,0.369593,0.022069986,310,0.944533,0.085217634,0.004376368,15 days 00:00:00.000000000,3.505881262,amenities
10,1205,341,369,Angsana Oasis Spa & Resort,"The room still stinks.
","the room still stink . 
",room,-0.879685,4,Jan-18,0.008846,0.181424,0.264185,0.6332770000000001,0.282624,0.022230858,341,0.879685,0.0858388,0.001458789,561 days 00:00:00.000000000,3.259072872,amenities
11,1206,338,366,Angsana Oasis Spa & Resort,"The rooms we were given were facing the back wall and was not what we were looking for , these are the worst rooms on the property I think.","the room we be give be face the back wall and be not what we be look for , these be the bad room on the property i think .",room,-0.637865,28,May-18,0.026873,0.381714,0.359008,0.335989,0.25408200000000003,0.021044735,338,0.637865,0.08125889,0.010211524,441 days 00:00:00.000000000,3.203360449,amenities
